City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,quellon,-43.1167,-73.6167,8.44,95,98,2.94,CL,1697598140
233,bomaderry,-34.85,150.6167,21.79,62,43,1.79,AU,1697598187
234,ginir,7.1333,40.7,13.49,84,84,2.3,ET,1697598188
235,yamada,39.4667,141.95,19.58,51,1,2.41,JP,1697598062
236,pangkalanbuun,-2.6833,111.6167,33.93,49,42,2.16,ID,1697598188
237,ocean shores,46.9737,-124.1563,14.41,96,100,4.12,US,1697598189
238,puerto baquerizo moreno,-0.9,-89.6,23.46,84,71,4.79,EC,1697598189
239,puerto ayora,-0.7393,-90.3518,24.19,94,20,3.55,EC,1697598189
240,torghay,49.6339,63.4981,9.27,49,69,3.01,KZ,1697598190
241,selfoss,63.9331,-20.9971,9.47,82,100,11.4,IS,1697598190
242,margate,51.3813,1.3862,12.17,77,100,2.68,GB,1697598078
243,languyan,5.2618,120.0807,29.21,74,92,1.96,PH,1697598190
244,acarau,-2.8856,-40.12,25.84,79,99,6.28,BR,1697598191
245,buy,58.4786,41.53,0.05,87,100,5.35,RU,1697598191
246,kolonia town,6.964,158.206,28.45,71,77,1.8,FM,1697598191
247,san juan pueblo,15.5833,-87.2333,23.42,90,100,0.78,HN,1697598191
248,mugia,43.1041,-9.2179,17.87,88,100,9.58,ES,1697598192
249,dawei,14.0833,98.2,28.7,77,56,0.82,MM,1697598192
250,the pinery,39.4553,-104.7344,20.18,27,75,2.57,US,1697598192
251,qaqortoq,60.7167,-46.0333,-1.18,56,7,1.88,GL,1697598193
252,oranjemund,-28.55,16.4333,16.43,82,0,2.49,NA,1697598193
253,waveland,30.2869,-89.3762,16.1,63,0,0.6,US,1697598193
254,pemba,-12.974,40.5178,25.39,88,20,3.6,MZ,1697598194
255,isla aguada,18.7833,-91.4667,22.02,65,39,3.33,MX,1697598194
256,shagonar,51.5333,92.8,8.01,58,40,1.13,RU,1697598194
257,priozersk,61.0393,30.1291,5.62,83,100,3.65,RU,1697598194
258,galliano,29.4422,-90.2992,15.56,77,0,0.0,US,1697598195
259,vanimo,-2.6741,141.3028,29.95,64,87,2.87,PG,1697598195
260,kutum,14.2,24.6667,20.26,25,84,3.92,SD,1697598195
261,kawambwa,-9.7915,29.0791,16.56,93,99,1.44,ZM,1697598195
262,kentville,45.0835,-64.4988,7.45,98,82,1.03,CA,1697597936
263,papao,-17.75,-149.55,27.82,83,96,7.41,PF,1697598196
264,melekeok village,7.4957,134.6367,28.31,83,75,2.06,PW,1697598196
265,san nicolas,18.1725,120.5953,30.95,66,20,2.06,PH,1697598197
266,pitimbu,-7.4706,-34.8086,23.33,78,78,4.93,BR,1697598197
267,keflavik,64.0049,-22.5624,10.24,87,100,16.46,IS,1697598197
268,weno,7.4515,151.8468,28.78,74,56,2.43,FM,1697598198
269,adre,13.4667,22.2,23.57,24,74,6.05,TD,1697598198
270,warmbaths,-24.8833,28.2833,13.49,74,0,1.92,ZA,1697598198
271,dubbo,-32.25,148.6167,24.07,31,0,3.6,AU,1697598199
272,chonchi,-42.6128,-73.8092,8.4,94,74,1.28,CL,1697598199
273,layyah,30.9613,70.939,21.71,54,0,1.7,PK,1697598199
274,rogozno,52.7523,16.9905,2.77,85,5,2.61,PL,1697598200
275,alpena,45.0617,-83.4327,9.14,96,100,0.0,US,1697598200
276,changji,44.0167,87.3167,8.44,49,0,1.0,CN,1697598200
277,sarakhs,36.5449,61.1577,16.78,46,3,0.87,IR,1697598200
278,tazovsky,67.4667,78.7,5.17,96,100,5.36,RU,1697598200
279,brisas de zicatela,15.8369,-97.0419,26.24,78,87,2.1,MX,1697598201
280,galle,6.0367,80.217,24.57,92,100,4.12,LK,1697598201
281,ulverstone,-41.15,146.1667,17.07,73,4,4.25,AU,1697598201
282,howrah,22.5892,88.3103,28.0,78,20,1.54,IN,1697598176
283,batang,-6.4846,110.7083,33.04,42,56,4.39,ID,1697598202
284,nabire,-3.3667,135.4833,30.18,65,85,2.06,ID,1697598202
285,extrema,-22.8547,-46.3183,18.58,96,100,1.62,BR,1697598202
286,nadi,-17.8,177.4167,28.0,69,20,6.17,FJ,1697598203
287,lorengau,-2.0226,147.2712,29.97,66,74,2.49,PG,1697598083
288,yuzhno-kurilsk,44.0306,145.8556,10.76,75,17,6.82,RU,1697598203
289,buctzotz,21.2,-88.7833,21.15,65,100,1.95,MX,1697598203
290,mammoth lakes,37.6485,-118.9721,10.19,31,0,1.54,US,1697598204
291,birao,10.2849,22.7882,21.63,45,100,1.57,CF,1697598204
292,tamanrasset,22.785,5.5228,20.95,18,0,2.57,DZ,1697598146
293,mount isa,-20.7333,139.5,34.87,10,0,3.6,AU,1697598064
294,east london,-33.0153,27.9116,15.48,83,0,4.54,ZA,1697598205
295,vrangel',42.7297,133.0839,14.36,83,100,3.13,RU,1697598205
296,akdepe,42.0551,59.3788,8.05,33,92,3.63,TM,1697598206
297,ulsteinvik,62.3432,5.8487,7.64,90,99,3.13,NO,1697598206
298,taksimo,56.3444,114.8794,2.06,57,91,1.34,RU,1697598206
299,nizhniye sergi,56.6614,59.3033,4.44,63,85,5.07,RU,1697598206
300,meadow lake,34.8014,-106.5436,21.71,26,0,1.21,US,1697598207
301,tsrar sharif,33.8667,74.7667,7.83,76,61,0.83,IN,1697598207
302,kalach,50.4258,41.0261,2.0,73,0,4.58,RU,1697598207
303,antofagasta,-23.65,-70.4,17.6,86,73,0.5,CL,1697598025
304,kurmuk,10.55,34.2833,21.03,88,39,1.05,SD,1697598208
305,kerman,30.2832,57.0788,14.92,36,0,3.09,IR,1697598208
306,penzance,50.1186,-5.5371,15.38,92,100,14.45,GB,1697598089
307,argo,37.6333,22.7333,18.5,84,36,1.51,GR,1697598209
308,mana,5.6592,-53.7767,26.06,86,23,2.75,GF,1697598209
309,pacific grove,36.6177,-121.9166,20.01,88,40,2.06,US,1697598209
310,nizhnesortymskiy,62.4397,71.7603,6.14,93,2,7.28,RU,1697598209
311,garoowe,8.4054,48.4845,25.55,72,70,3.8,SO,1697598210
312,mbandaka,0.0487,18.2603,21.89,98,100,1.09,CD,1697598210
313,itoman,26.1247,127.6694,28.0,53,40,2.06,JP,1697598210
314,turuntayevo,52.2,107.6167,4.05,78,97,5.79,RU,1697598211
315,ulan bator,47.9077,106.8832,6.07,33,40,6.0,MN,1697598005
316,tommot,58.9564,126.2925,-0.38,81,100,4.42,RU,1697598211
317,saranac lake,44.3295,-74.1313,7.86,93,100,0.0,US,1697598212
318,sur,22.5667,59.5289,28.49,54,0,4.01,OM,1697598212
319,mahabaleshwar,17.9167,73.6667,19.46,69,6,1.98,IN,1697598212
320,arkhipo-osipovka,44.37,38.52,9.24,74,99,4.76,RU,1697598212
321,montmagny,48.9734,2.3469,11.8,78,0,5.14,FR,1697598213
322,uturoa,-16.7333,-151.4333,25.87,83,75,5.95,PF,1697598213
323,maceio,-9.6658,-35.7353,22.69,94,75,1.03,BR,1697597961
324,mukalla,14.5425,49.1242,25.33,69,22,1.9,YE,1697598213
325,cuyo,10.8525,121.0086,28.83,74,65,3.52,PH,1697598214
326,tan-tan,28.438,-11.1032,21.24,77,8,3.41,MA,1697598214
327,arraial do cabo,-22.9661,-42.0278,23.92,88,0,3.09,BR,1697598134
328,christchurch,-43.5333,172.6333,20.85,60,100,4.12,NZ,1697598003
329,puente alto,-33.6167,-70.5833,16.81,46,62,0.84,CL,1697598129
330,shetpe,44.1667,52.1167,7.48,72,97,1.52,KZ,1697598215
331,chincholi,17.4667,77.4333,26.44,59,8,3.45,IN,1697598215
332,portland,45.5234,-122.6762,15.96,89,40,2.06,US,1697597920
333,apolinario saravia,-24.4328,-63.9954,18.32,78,100,4.87,AR,1697598216
334,la passe,45.5549,-0.8967,20.13,77,84,9.95,FR,1697598216
335,afaahiti,-17.75,-149.2833,26.7,85,91,7.3,PF,1697598216
336,humen,22.819,113.6731,25.95,79,100,4.05,CN,1697598217
337,loma de cabrera,19.4333,-71.6,23.9,89,84,0.88,DO,1697598217
338,mata-utu,-13.2816,-176.1745,27.17,79,100,8.74,WF,1697598218
339,magadan,59.5667,150.8,-2.32,75,0,4.92,RU,1697598218
340,kontagora,10.3999,5.4695,24.0,82,45,0.78,NG,1697598218
341,camarinas,43.1311,-9.1817,17.88,89,100,9.43,ES,1697598219
342,lionel town,17.8101,-77.2406,29.94,85,12,1.71,JM,1697598219
343,port saint john's,-31.6229,29.5448,15.88,84,3,4.03,ZA,1697598219
344,betio village,1.358,172.9211,31.02,76,100,7.22,KI,1697598219
345,kerikeri,-35.2268,173.9474,17.75,80,100,3.87,NZ,1697598220
346,knoxville,35.9606,-83.9207,11.11,85,75,0.45,US,1697597971
347,bukene,-4.2333,32.8833,21.71,69,100,1.23,TZ,1697598220
348,sumbawa besar,-8.5,117.4333,35.87,29,24,4.3,ID,1697598220
349,kill devil hills,36.0307,-75.676,15.01,75,0,2.06,US,1697598221
350,quepos,9.4236,-84.1652,26.44,84,100,1.1,CR,1697598221
351,kununurra,-15.7667,128.7333,35.99,13,0,3.6,AU,1697597955
352,bardai,11.65,7.2333,23.3,69,96,1.85,NG,1697598221
353,at taj,24.2049,23.2857,18.31,42,5,3.38,LY,1697598221
354,bonthe,7.5264,-12.505,24.0,93,99,1.94,SL,1697598197
355,zaozersk,69.4005,32.4476,0.31,79,100,3.5,RU,1697598222
356,yanchep,-31.55,115.6833,23.34,57,96,4.13,AU,1697598223
357,sandwip,22.4678,91.4561,28.02,69,4,2.27,BD,1697598223
358,inderbor,48.55,51.7833,5.65,66,99,3.99,KZ,1697598224
359,wellington,-41.2866,174.7756,17.81,77,87,8.23,NZ,1697598014
360,borogontsy,62.6683,131.1683,-5.4,62,100,0.45,RU,1697598224
361,warren,39.4334,-84.1666,8.72,89,0,1.54,US,1697598224
362,bam,29.106,58.357,24.33,30,4,3.39,IR,1697598073
